Status,ip,@timestamp,tag,name
offline,10.10.80.74,2021-11-19 22:39:23.548413,0,cnhhklq0sh.internal.synopsys.com
offline,10.10.80.69,2021-11-19 22:39:23.548413,0,cnhhklq0sh.internal.synopsys.com
offline,10.10.72.54,2021-11-19 22:39:23.548413,0,pronays-iphone.internal.synopsys.com
offline,10.10.80.68,2021-11-19 22:39:23.548413,0,manoj-1030.internal.synopsys.com
offline,10.10.72.52,2021-11-19 22:39:23.548413,0,iphone-4.internal.synopsys.com
offline,10.10.72.51,2021-11-19 22:39:23.548413,0,iphone-johnci.internal.synopsys.com
offline,10.10.72.50,2021-11-19 22:39:23.548413,0,galaxy-s8.internal.synopsys.com
offline,10.10.72.49,2021-11-19 22:39:23.548413,0,viveks-iphone.internal.synopsys.com
offline,10.10.72.48,2021-11-19 22:39:23.548413,0,lisas-iphone.internal.synopsys.com
offline,10.10.72.47,2021-11-19 22:39:23.548413,0,lathas-iphone.internal.synopsys.com
offline,10.10.72.46,2021-11-19 22:39:23.548413,0,iphone.internal.synopsys.com
offline,10.10.80.60,2021-11-19 22:39:23.548413,0,arnoldda-7390.internal.synopsys.com
offline,10.10.72.44,2021-11-19 22:39:23.548413,0,zacharys-iphone.internal.synopsys.com
offline,10.10.72.43,2021-11-19 22:39:23.548413,0,iphone.internal.synopsys.com
offline,10.10.80.58,2021-11-19 22:39:23.548413,0,deepeshp-7480.internal.synopsys.com
offline,10.10.72.42,2021-11-19 22:39:23.548413,0,iphone.internal.synopsys.com
offline,10.10.72.40,2021-11-19 22:39:23.548413,0,teds-iphone.internal.synopsys.com
offline,10.10.72.41,2021-11-19 22:39:23.548413,0,shakirs-iphone.internal.synopsys.com
offline,10.10.80.55,2021-11-19 22:39:23.548413,0,manojbh-7390.internal.synopsys.com
offline,10.10.72.39,2021-11-19 22:39:23.548413,0,oneplus-7-pro.internal.synopsys.com
offline,10.10.80.54,2021-11-19 22:39:23.548413,0,biehn-5520.internal.synopsys.com
offline,10.10.72.38,2021-11-19 22:39:23.548413,0,oneplus-7-pro.internal.synopsys.com
offline,10.10.80.53,2021-11-19 22:39:23.548413,0,namitg-7300.internal.synopsys.com
offline,10.10.80.52,2021-11-19 22:39:23.548413,0,cnhhklq0sh.internal.synopsys.com
offline,10.10.72.35,2021-11-19 22:39:23.548413,0,viveks-iphone.internal.synopsys.com
offline,10.10.80.49,2021-11-19 22:39:23.548413,0,galban-e7280.internal.synopsys.com
offline,10.10.72.34,2021-11-19 22:39:23.548413,0,jeromeworkphone.internal.synopsys.com
offline,10.10.72.33,2021-11-19 22:39:23.548413,0,iphone.internal.synopsys.com
offline,10.10.72.32,2021-11-19 22:39:23.548413,0,iphone.internal.synopsys.com
offline,10.10.72.31,2021-11-19 22:39:23.548413,0,galaxy-s10-5g.internal.synopsys.com
offline,10.10.80.46,2021-11-19 22:39:23.548413,0,mijones-7490.internal.synopsys.com
offline,10.10.72.30,2021-11-19 22:39:23.548413,0,iphone.internal.synopsys.com
offline,10.10.80.45,2021-11-19 22:39:23.548413,0,johnci-e7480.internal.synopsys.com
offline,10.10.80.44,2021-11-19 22:39:23.548413,0,kaelen-5511.internal.synopsys.com
offline,10.10.72.28,2021-11-19 22:39:23.548413,0,kobis-iphone.internal.synopsys.com
